Measure,Time,Time_type,Ethnicity,Ethnicity_type,Gender,Gender_type,Age Bracket,Age Bracket Type,Value,Denominator,Numerator,Upper bound,Lower bound,Note
Unemployment in the labour force,2005,Year,Chinese,ONS labour expanded Asian,,All,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2005,Year,Other Asian,ONS labour expanded Asian,,All,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2005,Year,Other  ,ONS labour expanded Asian,,All,50-64,Labour force age brackets,0.118,43,,,,Small sample size
Unemployment in the labour force,2005,Year,Unknown,ONS labour expanded Asian,,All,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2005,Year,Ethnic Minority,White and other,,All,50-64,Labour force age brackets,0.062,305,,,,
Unemployment in the labour force,2005,Year,All,All,,All,50-64,Labour force age brackets,0.029,6919,,,,
Unemployment in the labour force,2005,Year,White,ONS labour expanded Asian,Male,Male/Female,50-64,Labour force age brackets,0.031,3653,,,,
Unemployment in the labour force,2005,Year,Black,ONS labour expanded Asian,Male,Male/Female,50-64,Labour force age brackets,0.101,39,,,,Small sample size
Unemployment in the labour force,2005,Year,Mixed or multiple,ONS labour expanded Asian,Male,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2005,Year,Indian,ONS labour expanded Asian,Male,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2005,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,Male,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2005,Year,Chinese,ONS labour expanded Asian,Male,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2005,Year,Other Asian,ONS labour expanded Asian,Male,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2005,Year,Other  ,ONS labour expanded Asian,Male,Male/Female,50-64,Labour force age brackets,0.126,25,,,,Small sample size
Unemployment in the labour force,2005,Year,Unknown,ONS labour expanded Asian,Male,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2005,Year,Ethnic Minority,White and other,Male,Male/Female,50-64,Labour force age brackets,0.075,182,,,,
Unemployment in the labour force,2005,Year,All,All,Male,Male/Female,50-64,Labour force age brackets,0.033,3837,,,,
Unemployment in the labour force,2005,Year,White,ONS labour expanded Asian,Female,Male/Female,50-64,Labour force age brackets,0.021,2958,,,,
Unemployment in the labour force,2005,Year,Black,ONS labour expanded Asian,Female,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2005,Year,Mixed or multiple,ONS labour expanded Asian,Female,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2005,Year,Indian,ONS labour expanded Asian,Female,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2005,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,Female,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2005,Year,Chinese,ONS labour expanded Asian,Female,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2005,Year,Other Asian,ONS labour expanded Asian,Female,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2005,Year,Other  ,ONS labour expanded Asian,Female,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2005,Year,Unknown,ONS labour expanded Asian,Female,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2005,Year,Ethnic Minority,White and other,Female,Male/Female,50-64,Labour force age brackets,0.044,123,,,,Small sample size
Unemployment in the labour force,2005,Year,All,All,Female,Male/Female,50-64,Labour force age brackets,0.022,3081,,,,
Unemployment in the labour force,2005,Year,White,White and other,,All,16+,Labour force age brackets,0.043,27119,,,,
Unemployment in the labour force,2005,Year,White,White and other,Male,Male/Female,16+,Labour force age brackets,0.047,14617,,,,
Unemployment in the labour force,2005,Year,White,White and other,Female,Male/Female,16+,Labour force age brackets,0.039,12502,,,,
Unemployment in the labour force,2005,Year,White,White and other,,All,16-24,Labour force age brackets,0.119,4175,,,,
Unemployment in the labour force,2005,Year,White,White and other,Male,Male/Female,16-24,Labour force age brackets,0.134,2200,,,,
Unemployment in the labour force,2005,Year,White,White and other,Female,Male/Female,16-24,Labour force age brackets,0.097,1975,,,,
Unemployment in the labour force,2005,Year,White,White and other,,All,25-49,Labour force age brackets,0.031,15775,,,,
Unemployment in the labour force,2005,Year,White,White and other,Male,Male/Female,25-49,Labour force age brackets,0.031,8416,,,,
Unemployment in the labour force,2005,Year,White,White and other,Female,Male/Female,25-49,Labour force age brackets,0.03,7359,,,,
Unemployment in the labour force,2005,Year,White,White and other,,All,50-64,Labour force age brackets,0.027,6611,,,,
Unemployment in the labour force,2005,Year,White,White and other,Male,Male/Female,50-64,Labour force age brackets,0.031,3653,,,,
Unemployment in the labour force,2005,Year,White,White and other,Female,Male/Female,50-64,Labour force age brackets,0.021,2958,,,,
Unemployment in the labour force,2006,Year,White,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.048,27306,,,,
Unemployment in the labour force,2006,Year,Black,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.139,695,,,,
Unemployment in the labour force,2006,Year,Mixed or multiple,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.132,213,,,,
Unemployment in the labour force,2006,Year,Indian,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.077,650,,,,
Unemployment in the labour force,2006,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.151,395,,,,
Unemployment in the labour force,2006,Year,Chinese,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.082,110,,,,
Unemployment in the labour force,2006,Year,Other Asian,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.095,199,,,,
Unemployment in the labour force,2006,Year,Other  ,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.122,417,,,,
Unemployment in the labour force,2006,Year,Unknown,ONS labour expanded Asian,,All,16+,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2006,Year,Ethnic Minority,White and other,,All,16+,Labour force age brackets,0.117,2679,,,,
Unemployment in the labour force,2006,Year,All,All,,All,16+,Labour force age brackets,0.054,29999,,,,
Unemployment in the labour force,2006,Year,White,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.052,14673,,,,
Unemployment in the labour force,2006,Year,Black,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.149,345,,,,
Unemployment in the labour force,2006,Year,Mixed or multiple,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.151,110,,,,
Unemployment in the labour force,2006,Year,Indian,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.073,376,,,,
Unemployment in the labour force,2006,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.12,278,,,,
Unemployment in the labour force,2006,Year,Chinese,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.081,53,,,,Small sample size
Unemployment in the labour force,2006,Year,Other Asian,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.091,116,,,,
Unemployment in the labour force,2006,Year,Other  ,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.127,243,,,,
Unemployment in the labour force,2006,Year,Unknown,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2006,Year,Ethnic Minority,White and other,Male,Male/Female,16+,Labour force age brackets,0.115,1521,,,,
Unemployment in the labour force,2006,Year,All,All,Male,Male/Female,16+,Labour force age brackets,0.058,16203,,,,
Unemployment in the labour force,2006,Year,White,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.044,12632,,,,
Unemployment in the labour force,2006,Year,Black,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.129,350,,,,
Unemployment in the labour force,2006,Year,Mixed or multiple,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.111,103,,,,
Unemployment in the labour force,2006,Year,Indian,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.082,274,,,,
Unemployment in the labour force,2006,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.223,117,,,,
Unemployment in the labour force,2006,Year,Chinese,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.083,58,,,,Small sample size
Unemployment in the labour force,2006,Year,Other Asian,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.1,83,,,,
Unemployment in the labour force,2006,Year,Other  ,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.114,174,,,,
Unemployment in the labour force,2006,Year,Unknown,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2006,Year,Ethnic Minority,White and other,Female,Male/Female,16+,Labour force age brackets,0.119,1159,,,,
Unemployment in the labour force,2006,Year,All,All,Female,Male/Female,16+,Labour force age brackets,0.051,13797,,,,
Unemployment in the labour force,2006,Year,White,ONS labour expanded Asian,,All,16-24,Labour force age brackets,0.13,4217,,,,
Unemployment in the labour force,2006,Year,Black,ONS labour expanded Asian,,All,16-24,Labour force age brackets,0.314,105,,,,
Unemployment in the labour force,2006,Year,Mixed or multiple,ONS labour expanded Asian,,All,16-24,Labour force age brackets,0.237,68,,,,
Unemployment in the labour force,2006,Year,Indian,ONS labour expanded Asian,,All,16-24,Labour force age brackets,0.182,92,,,,
Unemployment in the labour force,2006,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,,All,16-24,Labour force age brackets,0.27,104,,,,
Unemployment in the labour force,2006,Year,Chinese,ONS labour expanded Asian,,All,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2006,Year,Other Asian,ONS labour expanded Asian,,All,16-24,Labour force age brackets,0.248,21,,,,Small sample size
Unemployment in the labour force,2006,Year,Other  ,ONS labour expanded Asian,,All,16-24,Labour force age brackets,0.234,61,,,,
Unemployment in the labour force,2006,Year,Unknown,ONS labour expanded Asian,,All,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2006,Year,Ethnic Minority,White and other,,All,16-24,Labour force age brackets,0.249,470,,,,
Unemployment in the labour force,2006,Year,All,All,,All,16-24,Labour force age brackets,0.142,4688,,,,
Unemployment in the labour force,2006,Year,White,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,0.148,2205,,,,
Unemployment in the labour force,2006,Year,Black,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,0.363,45,,,,
Unemployment in the labour force,2006,Year,Mixed or multiple,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,0.313,36,,,,
Unemployment in the labour force,2006,Year,Indian,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,0.197,47,,,,
Unemployment in the labour force,2006,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,0.229,57,,,,
Unemployment in the labour force,2006,Year,Chinese,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2006,Year,Other Asian,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2006,Year,Other  ,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,0.287,34,,,,
Unemployment in the labour force,2006,Year,Unknown,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2006,Year,Ethnic Minority,White and other,Male,Male/Female,16-24,Labour force age brackets,0.268,242,,,,
Unemployment in the labour force,2006,Year,All,All,Male,Male/Female,16-24,Labour force age brackets,0.16,2447,,,,
Unemployment in the labour force,2006,Year,White,ONS labour expanded Asian,Female,Male/Female,16-24,Labour force age brackets,0.109,2012,,,,
Unemployment in the labour force,2006,Year,Black,ONS labour expanded Asian,Female,Male/Female,16-24,Labour force age brackets,0.247,60,,,,
Unemployment in the labour force,2006,Year,Mixed or multiple,ONS labour expanded Asian,Female,Male/Female,16-24,Labour force age brackets,* *,33,,,,Suppressed
Unemployment in the labour force,2006,Year,Indian,ONS labour expanded Asian,Female,Male/Female,16-24,Labour force age brackets,0.112,44,,,,Small sample size
Unemployment in the labour force,2006,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,Female,Male/Female,16-24,Labour force age brackets,0.306,47,,,,
Unemployment in the labour force,2006,Year,Chinese,ONS labour expanded Asian,Female,Male/Female,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2006,Year,Other Asian,ONS labour expanded Asian,Female,Male/Female,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2006,Year,Other  ,ONS labour expanded Asian,Female,Male/Female,16-24,Labour force age brackets,* *,28,,,,Suppressed
Unemployment in the labour force,2006,Year,Unknown,ONS labour expanded Asian,Female,Male/Female,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2006,Year,Ethnic Minority,White and other,Female,Male/Female,16-24,Labour force age brackets,0.202,228,,,,
Unemployment in the labour force,2006,Year,All,All,Female,Male/Female,16-24,Labour force age brackets,0.118,2242,,,,
Unemployment in the labour force,2006,Year,White,ONS labour expanded Asian,,All,25-49,Labour force age brackets,0.036,15763,,,,
Unemployment in the labour force,2006,Year,Black,ONS labour expanded Asian,,All,25-49,Labour force age brackets,0.114,504,,,,
Unemployment in the labour force,2006,Year,Mixed or multiple,ONS labour expanded Asian,,All,25-49,Labour force age brackets,0.083,129,,,,
Unemployment in the labour force,2006,Year,Indian,ONS labour expanded Asian,,All,25-49,Labour force age brackets,0.06,448,,,,
Unemployment in the labour force,2006,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,,All,25-49,Labour force age brackets,0.11,253,,,,
Unemployment in the labour force,2006,Year,Chinese,ONS labour expanded Asian,,All,25-49,Labour force age brackets,0.056,77,,,,Small sample size
Unemployment in the labour force,2006,Year,Other Asian,ONS labour expanded Asian,,All,25-49,Labour force age brackets,0.081,140,,,,
Unemployment in the labour force,2006,Year,Other  ,ONS labour expanded Asian,,All,25-49,Labour force age brackets,0.104,301,,,,
Unemployment in the labour force,2006,Year,Unknown,ONS labour expanded Asian,,All,25-49,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2006,Year,Ethnic Minority,White and other,,All,25-49,Labour force age brackets,0.092,1854,,,,
Unemployment in the labour force,2006,Year,All,All,,All,25-49,Labour force age brackets,0.042,17625,,,,
Unemployment in the labour force,2006,Year,White,ONS labour expanded Asian,Male,Male/Female,25-49,Labour force age brackets,0.037,8405,,,,
Unemployment in the labour force,2006,Year,Black,ONS labour expanded Asian,Male,Male/Female,25-49,Labour force age brackets,0.118,255,,,,
Unemployment in the labour force,2006,Year,Mixed or multiple,ONS labour expanded Asian,Male,Male/Female,25-49,Labour force age brackets,0.08,65,,,,Small sample size
Unemployment in the labour force,2006,Year,Indian,ONS labour expanded Asian,Male,Male/Female,25-49,Labour force age brackets,0.056,257,,,,
Unemployment in the labour force,2006,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,Male,Male/Female,25-49,Labour force age brackets,0.091,190,,,,
Unemployment in the labour force,2006,Year,Chinese,ONS labour expanded Asian,Male,Male/Female,25-49,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2006,Year,Other Asian,ONS labour expanded Asian,Male,Male/Female,25-49,Labour force age brackets,0.076,83,,,,
Unemployment in the labour force,2006,Year,Other  ,ONS labour expanded Asian,Male,Male/Female,25-49,Labour force age brackets,0.098,178,,,,
Unemployment in the labour force,2006,Year,Unknown,ONS labour expanded Asian,Male,Male/Female,25-49,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2006,Year,Ethnic Minority,White and other,Male,Male/Female,25-49,Labour force age brackets,0.086,1065,,,,
Unemployment in the labour force,2006,Year,All,All,Male,Male/Female,25-49,Labour force age brackets,0.042,9476,,,,
Unemployment in the labour force,2006,Year,White,ONS labour expanded Asian,Female,Male/Female,25-49,Labour force age brackets,0.035,7358,,,,
Unemployment in the labour force,2006,Year,Black,ONS labour expanded Asian,Female,Male/Female,25-49,Labour force age brackets,0.109,250,,,,
Unemployment in the labour force,2006,Year,Mixed or multiple,ONS labour expanded Asian,Female,Male/Female,25-49,Labour force age brackets,0.086,63,,,,Small sample size
Unemployment in the labour force,2006,Year,Indian,ONS labour expanded Asian,Female,Male/Female,25-49,Labour force age brackets,0.066,191,,,,
Unemployment in the labour force,2006,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,Female,Male/Female,25-49,Labour force age brackets,0.167,62,,,,
Unemployment in the labour force,2006,Year,Chinese,ONS labour expanded Asian,Female,Male/Female,25-49,Labour force age brackets,0.077,42,,,,Small sample size
Unemployment in the labour force,2006,Year,Other Asian,ONS labour expanded Asian,Female,Male/Female,25-49,Labour force age brackets,0.089,57,,,,Small sample size
Unemployment in the labour force,2006,Year,Other  ,ONS labour expanded Asian,Female,Male/Female,25-49,Labour force age brackets,0.114,123,,,,
Unemployment in the labour force,2006,Year,Unknown,ONS labour expanded Asian,Female,Male/Female,25-49,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2006,Year,Ethnic Minority,White and other,Female,Male/Female,25-49,Labour force age brackets,0.099,789,,,,
Unemployment in the labour force,2006,Year,All,All,Female,Male/Female,25-49,Labour force age brackets,0.041,8149,,,,
Unemployment in the labour force,2006,Year,White,ONS labour expanded Asian,,All,50-64,Labour force age brackets,0.029,6729,,,,
Unemployment in the labour force,2006,Year,Black,ONS labour expanded Asian,,All,50-64,Labour force age brackets,0.065,79,,,,Small sample size
Unemployment in the labour force,2006,Year,Mixed or multiple,ONS labour expanded Asian,,All,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2006,Year,Indian,ONS labour expanded Asian,,All,50-64,Labour force age brackets,0.06,102,,,,
Unemployment in the labour force,2006,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,,All,50-64,Labour force age brackets,0.104,36,,,,Small sample size
Unemployment in the labour force,2006,Year,Chinese,ONS labour expanded Asian,,All,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2006,Year,Other Asian,ONS labour expanded Asian,,All,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2006,Year,Other  ,ONS labour expanded Asian,,All,50-64,Labour force age brackets,0.091,50,,,,Small sample size
Unemployment in the labour force,2006,Year,Unknown,ONS labour expanded Asian,,All,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2006,Year,Ethnic Minority,White and other,,All,50-64,Labour force age brackets,0.072,331,,,,
Unemployment in the labour force,2006,Year,All,All,,All,50-64,Labour force age brackets,0.031,7064,,,,
Unemployment in the labour force,2006,Year,White,ONS labour expanded Asian,Male,Male/Female,50-64,Labour force age brackets,0.032,3692,,,,
Unemployment in the labour force,2006,Year,Black,ONS labour expanded Asian,Male,Male/Female,50-64,Labour force age brackets,0.102,41,,,,Small sample size
Unemployment in the labour force,2006,Year,Mixed or multiple,ONS labour expanded Asian,Male,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2006,Year,Indian,ONS labour expanded Asian,Male,Male/Female,50-64,Labour force age brackets,0.055,65,,,,Small sample size
Unemployment in the labour force,2006,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,Male,Male/Female,50-64,Labour force age brackets,0.102,29,,,,Small sample size
Unemployment in the labour force,2006,Year,Chinese,ONS labour expanded Asian,Male,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2006,Year,Other Asian,ONS labour expanded Asian,Male,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2006,Year,Other  ,ONS labour expanded Asian,Male,Male/Female,50-64,Labour force age brackets,0.121,27,,,,Small sample size
Unemployment in the labour force,2006,Year,Unknown,ONS labour expanded Asian,Male,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2006,Year,Ethnic Minority,White and other,Male,Male/Female,50-64,Labour force age brackets,0.084,198,,,,
Unemployment in the labour force,2006,Year,All,All,Male,Male/Female,50-64,Labour force age brackets,0.035,3891,,,,
Unemployment in the labour force,2006,Year,White,ONS labour expanded Asian,Female,Male/Female,50-64,Labour force age brackets,0.025,3038,,,,
Unemployment in the labour force,2006,Year,Black,ONS labour expanded Asian,Female,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2006,Year,Mixed or multiple,ONS labour expanded Asian,Female,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2006,Year,Indian,ONS labour expanded Asian,Female,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2006,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,Female,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2006,Year,Chinese,ONS labour expanded Asian,Female,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2006,Year,Other Asian,ONS labour expanded Asian,Female,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2006,Year,Other  ,ONS labour expanded Asian,Female,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2006,Year,Unknown,ONS labour expanded Asian,Female,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2006,Year,Ethnic Minority,White and other,Female,Male/Female,50-64,Labour force age brackets,0.055,134,,,,
Unemployment in the labour force,2006,Year,All,All,Female,Male/Female,50-64,Labour force age brackets,0.026,3173,,,,
Unemployment in the labour force,2006,Year,White,White and other,,All,16+,Labour force age brackets,0.048,27306,,,,
Unemployment in the labour force,2006,Year,White,White and other,Male,Male/Female,16+,Labour force age brackets,0.052,14673,,,,
Unemployment in the labour force,2006,Year,White,White and other,Female,Male/Female,16+,Labour force age brackets,0.044,12632,,,,
Unemployment in the labour force,2006,Year,White,White and other,,All,16-24,Labour force age brackets,0.13,4217,,,,
Unemployment in the labour force,2006,Year,White,White and other,Male,Male/Female,16-24,Labour force age brackets,0.148,2205,,,,
Unemployment in the labour force,2006,Year,White,White and other,Female,Male/Female,16-24,Labour force age brackets,0.109,2012,,,,
Unemployment in the labour force,2006,Year,White,White and other,,All,25-49,Labour force age brackets,0.036,15763,,,,
Unemployment in the labour force,2006,Year,White,White and other,Male,Male/Female,25-49,Labour force age brackets,0.037,8405,,,,
Unemployment in the labour force,2006,Year,White,White and other,Female,Male/Female,25-49,Labour force age brackets,0.035,7358,,,,
Unemployment in the labour force,2006,Year,White,White and other,,All,50-64,Labour force age brackets,0.029,6729,,,,
Unemployment in the labour force,2006,Year,White,White and other,Male,Male/Female,50-64,Labour force age brackets,0.032,3692,,,,
Unemployment in the labour force,2006,Year,White,White and other,Female,Male/Female,50-64,Labour force age brackets,0.025,3038,,,,
Unemployment in the labour force,2007,Year,White,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.048,27375,,,,
Unemployment in the labour force,2007,Year,Black,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.132,729,,,,
Unemployment in the labour force,2007,Year,Mixed or multiple,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.116,214,,,,
Unemployment in the labour force,2007,Year,Indian,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.068,625,,,,
Unemployment in the labour force,2007,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.142,438,,,,
Unemployment in the labour force,2007,Year,Chinese,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.082,134,,,,
Unemployment in the labour force,2007,Year,Other Asian,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.097,235,,,,
Unemployment in the labour force,2007,Year,Other  ,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.113,447,,,,
Unemployment in the labour force,2007,Year,Unknown,ONS labour expanded Asian,,All,16+,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2007,Year,Ethnic Minority,White and other,,All,16+,Labour force age brackets,0.11,2821,,,,
Unemployment in the labour force,2007,Year,All,All,,All,16+,Labour force age brackets,0.054,30209,,,,
Unemployment in the labour force,2007,Year,White,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.051,14745,,,,
Unemployment in the labour force,2007,Year,Black,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.154,375,,,,
Unemployment in the labour force,2007,Year,Mixed or multiple,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.14,103,,,,
Unemployment in the labour force,2007,Year,Indian,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.058,358,,,,
Unemployment in the labour force,2007,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.115,301,,,,
Unemployment in the labour force,2007,Year,Chinese,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.089,65,,,,Small sample size
Unemployment in the labour force,2007,Year,Other Asian,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.082,134,,,,
Unemployment in the labour force,2007,Year,Other  ,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.111,258,,,,
Unemployment in the labour force,2007,Year,Unknown,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2007,Year,Ethnic Minority,White and other,Male,Male/Female,16+,Labour force age brackets,0.108,1594,,,,
Unemployment in the labour force,2007,Year,All,All,Male,Male/Female,16+,Labour force age brackets,0.056,16346,,,,
Unemployment in the labour force,2007,Year,White,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.045,12630,,,,
Unemployment in the labour force,2007,Year,Black,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.109,355,,,,
Unemployment in the labour force,2007,Year,Mixed or multiple,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.093,110,,,,
Unemployment in the labour force,2007,Year,Indian,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.082,267,,,,
Unemployment in the labour force,2007,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.2,137,,,,
Unemployment in the labour force,2007,Year,Chinese,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.076,68,,,,Small sample size
Unemployment in the labour force,2007,Year,Other Asian,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.117,101,,,,
Unemployment in the labour force,2007,Year,Other  ,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.117,189,,,,
Unemployment in the labour force,2007,Year,Unknown,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,2007,Year,Ethnic Minority,White and other,Female,Male/Female,16+,Labour force age brackets,0.112,1228,,,,
Unemployment in the labour force,2007,Year,All,All,Female,Male/Female,16+,Labour force age brackets,0.051,13864,,,,
Unemployment in the labour force,2007,Year,White,ONS labour expanded Asian,,All,16-24,Labour force age brackets,0.133,4216,,,,
